幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,27.27500,27.62500,27.62200,27.62200,27.62100,27.61100,27.60000,27.58300,27.56400,本行賣出,27.94500,27.72500,27.73000,27.73000,27.73000,27.72800,27.72500,27.72200,27.70900,
HKD,本行買入,3.39600,3.52200,3.52100,3.52000,3.52100,3.52000,3.51900,3.51800,3.51600,本行賣出,3.60000,3.58200,3.58300,3.58400,3.58400,3.58400,3.58400,3.58500,3.58500,
GBP,本行買入,36.32000,37.33000,37.32200,37.30600,37.30000,37.28700,37.26100,37.23600,37.21000,本行賣出,38.44000,37.73000,37.73700,37.75100,37.74500,37.73800,37.73000,37.72100,37.71300,
AUD,本行買入,19.49000,19.78000,19.77600,19.76900,19.77100,19.76900,19.76300,19.75700,19.75200,本行賣出,20.27000,19.98000,19.98500,19.99500,19.99400,19.99500,19.99700,19.99900,20.00200,
CAD,本行買入,21.52000,21.92000,21.91600,21.90800,21.90600,21.90000,21.88600,21.87200,21.85800,本行賣出,22.43000,22.12000,22.12500,22.13500,22.13200,22.12900,22.12400,22.11900,22.11400,
SGD,本行買入,20.01000,20.50000,20.49300,20.48000,20.47600,20.47200,20.46400,20.45600,20.44700,本行賣出,20.92000,20.68000,20.68400,20.69300,20.68800,20.68600,20.68600,20.68600,20.68600,
CHF,本行買入,29.55000,30.23000,30.23000,30.22900,30.25400,30.27700,30.29500,30.31300,30.33100,本行賣出,30.75000,30.48000,30.49800,30.53300,30.54800,30.57700,30.60700,30.63700,30.66800,
JPY,本行買入,0.23470,0.24200,0.24200,0.24200,0.24200,0.24210,0.24210,0.24210,0.24220,本行賣出,0.24750,0.24600,0.24610,0.24620,0.24630,0.24640,0.24650,0.24660,0.24670,
ZAR,本行買入,0.00000,1.79200,1.78900,1.78300,1.77600,1.76800,1.76000,1.75300,1.74500,本行賣出,0.00000,1.87200,1.87000,1.86700,1.86000,1.85200,1.84500,1.83800,1.83200,
SEK,本行買入,2.62000,2.96000,2.95900,2.95800,2.95900,2.95900,2.95900,2.95900,2.95900,本行賣出,3.14000,3.06000,3.06100,3.06400,3.06400,3.06600,3.06700,3.06800,3.06900,
NZD,本行買入,18.13000,18.51000,18.50300,18.49000,18.48000,18.46500,18.44100,18.41700,18.39400,本行賣出,18.98000,18.71000,18.71200,18.71500,18.70500,18.69200,18.67600,18.65900,18.64200,
THB,本行買入,0.71320,0.82560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90320,0.86560,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,30.57000,31.19000,31.19200,31.19700,31.21400,31.23500,31.24600,31.25800,31.27000,本行賣出,31.91000,31.59000,31.60400,31.63300,31.65500,31.68000,31.70600,31.73200,31.75800,
KRW,本行買入,0.02147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.59900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.07900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.26600,4.33800,4.33430,4.32680,4.31570,4.30960,4.29970,4.28980,4.27990,本行賣出,4.42800,4.38800,4.38630,4.38290,4.37680,4.36680,4.36100,4.35520,4.34940,
